splits,desc_norm,earlystop,cv_acc,cv_std,cv_f1,test_acc,test_correct,test_ci95,test_f1,rounds
dataset_splits,blockl2,clean,84.31,1.31,0.8414,87.15,156/179,"[81.5,91.3]",0.8721,69
dataset_splits,blockl2,leaky,84.56,1.27,0.8439,88.27,158/179,"[82.7,92.2]",0.8839,164
dataset_splits,l2,clean,84.62,0.95,0.8439,87.71,157/179,"[82.1,91.7]",0.8774,67
dataset_splits,l2,leaky,84.81,1.32,0.8459,86.59,155/179,"[80.8,90.8]",0.8662,105
dataset_splits,none,clean,85.49,1.16,0.8525,87.71,157/179,"[82.1,91.7]",0.878,85
dataset_splits,none,leaky,85.31,0.92,0.8505,90.5,162/179,"[85.3,94.0]",0.9061,153
