stage,method,geometry,family,mask,pooling,classifier,dim,oof_acc,oof_n,cv_acc,cv_std,cv_f1,cv_folds,epoch_budget,fold_epochs,test_ensemble_acc,test_ensemble_f1,test_refit_acc,test_refit_f1,refit_unreliable,test_n,test_single_acc,test_single_f1,test_ensemble_correct,test_ensemble_ci,test_refit_correct,test_refit_ci
probe,sam_b16,g32_t5,frozen,masked,avg,linear,3840,85.49190535491906,1606,85.49196029488593,2.141958493472707,0.8534501379258799,"[85.40372670807453, 85.04672897196261, 89.09657320872275, 83.48909657320873, 84.42367601246106]",3,"[1, 3, 7, 5, 1]",92.73743016759776,0.9284562901287641,89.94413407821229,0.9000607445537769,True,179,91.06145251396647,0.9108058764557099,166,"[88.0,95.7]",161,"[84.7,93.5]"
probe,sam_b16,g32_t5,frozen,masked,avg,mlp,3840,87.42216687422167,1606,87.42032855401405,1.8232774390884454,0.8734894054759742,"[90.37267080745342, 85.35825545171339, 87.22741433021807, 86.91588785046729, 87.22741433021807]",8,"[8, 20, 4, 8, 4]",92.17877094972067,0.9228816645899134,89.94413407821229,0.9006112476338498,False,179,91.06145251396647,0.9119821396382863,165,"[87.3,95.3]",161,"[84.7,93.5]"
probe,sam_b16,g32_t5,frozen,masked,max,linear,3840,86.6749688667497,1606,86.67459994969138,1.4551267753405717,0.8658871784984944,"[87.26708074534162, 84.11214953271028, 87.53894080996885, 87.53894080996885, 86.91588785046729]",9,"[21, 9, 11, 6, 6]",91.06145251396647,0.9118717061497212,89.94413407821229,0.8997826195731338,False,179,91.62011173184358,0.9172347693743821,163,"[86.0,94.4]",161,"[84.7,93.5]"
probe,sam_b16,g32_t5,frozen,masked,max,mlp,3840,85.7409713574097,1606,85.7396335210232,2.435386726171915,0.8568981827342792,"[87.88819875776397, 81.93146417445483, 86.91588785046729, 87.22741433021807, 84.73520249221184]",6,"[6, 17, 3, 6, 6]",91.62011173184358,0.9170113041080783,88.8268156424581,0.8883166355260614,False,179,89.3854748603352,0.8940117853161331,164,"[86.6,94.9]",159,"[83.4,92.6]"
probe,sam_b16,g32_t5,frozen,masked,avg+max,linear,7680,86.92403486924036,1606,86.92246667053656,2.6235744019021516,0.8683051693238257,"[89.44099378881988, 82.86604361370716, 88.78504672897196, 87.53894080996885, 85.98130841121495]",6,"[10, 3, 10, 6, 4]",89.94413407821229,0.9007746229635464,90.5027932960894,0.9051418439716312,False,179,90.5027932960894,0.9059020119132911,161,"[84.7,93.5]",162,"[85.3,94.0]"
probe,sam_b16,g32_t5,frozen,masked,avg+max,mlp,7680,87.98256537982564,1606,87.98107621756546,1.8342453793086841,0.8780185645668122,"[90.37267080745342, 89.40809968847351, 85.98130841121495, 87.22741433021807, 86.91588785046729]",6,"[18, 13, 1, 6, 6]",92.73743016759776,0.9281621815639787,91.06145251396647,0.9108963127697322,False,179,88.8268156424581,0.8902434256745188,166,"[88.0,95.7]",163,"[86.0,94.4]"
probe,sam_b16,g32_t5,frozen,nomask,avg,linear,3840,82.00498132004981,1606,82.00267022696929,2.5125134711003603,0.8177568958907516,"[85.71428571428571, 80.06230529595015, 80.68535825545172, 83.48909657320873, 80.06230529595015]",4,"[4, 8, 4, 13, 3]",85.47486033519553,0.8550279193067706,84.35754189944134,0.8441354903943377,False,179,83.24022346368714,0.8340968196092641,153,"[79.6,89.9]",151,"[78.3,89.0]"
probe,sam_b16,g32_t5,frozen,nomask,avg,mlp,3840,83.43711083437111,1606,83.43646601265455,1.4596360214870914,0.8332174801901919,"[84.472049689441, 82.2429906542056, 85.35825545171339, 81.93146417445483, 83.17757009345794]",20,"[16, 20, 22, 28, 10]",86.59217877094973,0.8670606334992431,86.59217877094973,0.8647445032513357,False,179,86.03351955307262,0.8600438153016514,155,"[80.8,90.8]",155,"[80.8,90.8]"
probe,sam_b16,g32_t5,frozen,nomask,max,linear,3840,83.00124533001245,1606,83.00207039337474,1.7177404284994267,0.8286814786812741,"[81.67701863354037, 82.86604361370716, 84.73520249221184, 84.73520249221184, 80.99688473520249]",6,"[2, 6, 6, 3, 6]",88.8268156424581,0.888132168956514,87.70949720670392,0.8773963213896473,False,179,88.26815642458101,0.8828700711053652,159,"[83.4,92.6]",157,"[82.1,91.7]"
probe,sam_b16,g32_t5,frozen,nomask,max,mlp,3840,83.68617683686178,1606,83.68704165941061,1.7594800535192456,0.8348939496679059,"[82.29813664596274, 82.55451713395638, 84.73520249221184, 86.29283489096574, 82.55451713395638]",3,"[9, 10, 2, 3, 3]",90.5027932960894,0.9057849514731973,87.70949720670392,0.8790406236003057,True,179,89.94413407821229,0.9007216073892597,162,"[85.3,94.0]",157,"[82.1,91.7]"
probe,sam_b16,g32_t5,frozen,nomask,avg+max,linear,7680,83.18804483188045,1606,83.18801880768561,1.1016602121203074,0.8308678144577006,"[83.22981366459628, 82.2429906542056, 82.55451713395638, 85.04672897196261, 82.86604361370716]",6,"[9, 6, 4, 7, 3]",88.26815642458101,0.8853592227292653,89.3854748603352,0.8951193381045739,False,179,89.3854748603352,0.8961152609018551,158,"[82.7,92.2]",160,"[84.0,93.1]"
probe,sam_b16,g32_t5,frozen,nomask,avg+max,mlp,7680,85.0560398505604,1606,85.05601671794277,2.5689971091787913,0.8487447089147789,"[85.09316770186336, 83.17757009345794, 88.1619937694704, 86.91588785046729, 81.93146417445483]",7,"[4, 8, 7, 7, 6]",89.3854748603352,0.8944573948523986,89.94413407821229,0.9002795683143137,False,179,88.8268156424581,0.8887869298010505,160,"[84.0,93.1]",161,"[84.7,93.5]"
