stage,method,geometry,family,mask,pooling,classifier,timm_id,oof_acc,oof_n,cv_acc,cv_std,cv_f1,cv_folds,epoch_budget,fold_epochs,test_ensemble_acc,test_ensemble_f1,test_refit_acc,test_refit_f1,refit_unreliable,test_n,test_single_acc,test_single_f1,test_ensemble_correct,test_ensemble_ci,test_refit_correct,test_refit_ci
finetune,resnet50,n/a,finetuned,masked,n/a,end-to-end,resnet50.a1_in1k,84.12204234122042,1606,84.12279174164587,1.8208774741602924,0.8399553253526963,"[82.91925465838509, 82.86604361370716, 82.86604361370716, 86.91588785046729, 85.04672897196261]",23,"[25, 29, 13, 23, 16]",91.62011173184358,0.9165074056378404,90.5027932960894,0.9053713447734271,False,179,89.94413407821229,0.8997639144662812,164,"[86.6,94.9]",162,"[85.3,94.0]"
finetune,resnet50,n/a,finetuned,nomask,n/a,end-to-end,resnet50.a1_in1k,84.99377334993773,1606,84.99293744316093,1.3213531036298845,0.8499040744279689,"[86.33540372670807, 84.73520249221184, 85.35825545171339, 85.66978193146417, 82.86604361370716]",19,"[17, 19, 8, 27, 22]",92.17877094972067,0.9223191705870706,93.85474860335195,0.9389271497851516,False,179,91.06145251396647,0.9110804879494702,165,"[87.3,95.3]",168,"[89.3,96.5]"
finetune,vit_b16,n/a,finetuned,masked,n/a,end-to-end,vit_base_patch16_224.augreg2_in21k_ft_in1k,85.24283935242839,1606,85.24254561637738,1.7869806694291945,0.8506306732630169,"[85.71428571428571, 85.35825545171339, 82.55451713395638, 87.53894080996885, 85.04672897196261]",2,"[1, 17, 9, 1, 2]",91.06145251396647,0.9105640452989772,60.893854748603346,0.6014971734679654,True,179,86.03351955307262,0.8609254745270061,163,"[86.0,94.4]",109,"[53.6,67.7]"
finetune,vit_b16,n/a,finetuned,nomask,n/a,end-to-end,vit_base_patch16_224.augreg2_in21k_ft_in1k,84.24657534246576,1606,84.24682184942242,2.883802698940111,0.8404385878968164,"[83.85093167701864, 80.06230529595015, 86.29283489096574, 87.53894080996885, 83.48909657320873]",3,"[17, 3, 1, 2, 9]",90.5027932960894,0.9049467893217894,73.74301675977654,0.7355033499966925,True,179,86.03351955307262,0.8622261072261072,162,"[85.3,94.0]",132,"[66.8,79.6]"
finetune,convnextv2,n/a,finetuned,masked,n/a,end-to-end,convnextv2_base.fcmae_ft_in1k,83.12577833125778,1606,83.12687447998297,5.643416940488606,0.8205660261897278,"[81.36645962732919, 74.14330218068535, 85.35825545171339, 86.29283489096574, 88.47352024922118]",1,"[1, 1, 1, 2, 18]",91.62011173184358,0.9156922481005367,87.70949720670392,0.8759065623395482,True,179,91.62011173184358,0.9158539634908727,164,"[86.6,94.9]",157,"[82.1,91.7]"
finetune,convnextv2,n/a,finetuned,nomask,n/a,end-to-end,convnextv2_base.fcmae_ft_in1k,80.57285180572852,1606,80.57293783015034,3.0642071450201707,0.8024474676323926,"[80.43478260869566, 78.50467289719626, 76.94704049844236, 82.2429906542056, 84.73520249221184]",1,"[1, 1, 1, 2, 9]",91.06145251396647,0.910908673841595,36.312849162011176,0.2971235614212906,True,179,88.8268156424581,0.8891990625861593,163,"[86.0,94.4]",65,"[29.6,43.6]"
finetune,yolo11,n/a,finetuned,masked,n/a,end-to-end,yolo11s-cls.pt,85.24283935242839,1606,85.24235212166948,2.462273606334981,0.8507002549009279,"[86.0248447204969, 84.73520249221184, 81.30841121495327, 87.85046728971963, 86.29283489096574]",13,"[14, 7, 1, 13, 15]",91.62011173184358,0.9158477763320698,89.3854748603352,0.8932963984654101,False,179,89.94413407821229,0.900285316729967,164,"[86.6,94.9]",160,"[84.0,93.1]"
finetune,yolo11,n/a,finetuned,nomask,n/a,end-to-end,yolo11s-cls.pt,84.05977584059777,1606,84.0593254774482,0.9788091936899654,0.8390612446766742,"[84.78260869565217, 83.17757009345794, 85.04672897196261, 84.42367601246106, 82.86604361370716]",9,"[7, 13, 10, 9, 1]",92.73743016759776,0.9277493824005452,90.5027932960894,0.9049528642197189,False,179,87.70949720670392,0.8769755408777007,166,"[88.0,95.7]",162,"[85.3,94.0]"
finetune,yolo26,n/a,finetuned,masked,n/a,end-to-end,yolo26s-cls.pt,85.0560398505604,1606,85.05466225498733,2.3405756845370456,0.8486871393117837,"[87.26708074534162, 86.91588785046729, 82.2429906542056, 85.98130841121495, 82.86604361370716]",9,"[18, 9, 6, 14, 2]",91.06145251396647,0.9107232524717331,89.94413407821229,0.9008036977723547,False,179,89.3854748603352,0.8930159014417007,163,"[86.0,94.4]",161,"[84.7,93.5]"
finetune,yolo26,n/a,finetuned,nomask,n/a,end-to-end,yolo26s-cls.pt,84.05977584059777,1606,84.05990596157194,0.5944052238810841,0.8396210454782702,"[83.85093167701864, 83.17757009345794, 84.73520249221184, 84.42367601246106, 84.11214953271028]",7,"[1, 7, 13, 3, 9]",92.17877094972067,0.9224572905929469,93.29608938547486,0.9331065153981821,False,179,86.03351955307262,0.8596056565720276,165,"[87.3,95.3]",167,"[88.6,96.1]"
